cena,powierzchnia,wiek,czynsz,pokoje,piętro,wysokość budynku,odległość od centrum,miasto,zabudowa,wykończenie,okna,ogrzewanie
295000,54.26,73.0,686.0,2.0,1,3.0,91.95,Radom,blok,do remontu,plastikowe,miejskie
500000,27.76,55.0,300.0,1.0,5,10.0,3.79,Warszawa,blok,do zamieszkania,plastikowe,miejskie
790000,50.5,22.0,950.0,2.0,3,4.0,12.06,Warszawa,blok,do zamieszkania,plastikowe,miejskie
470000,32.5,27.0,,1.0,2,3.0,12.02,Warszawa,blok,do zamieszkania,drewniane,miejskie
660000,41.23,3.0,750.0,2.0,parter,,14.06,Ożarów Mazowiecki,blok,do zamieszkania,plastikowe,miejskie
1199900,125.2,5.0,,5.0,1,2.0,15.03,Kobyłka,apartamentowiec,do zamieszkania,plastikowe,gazowe
259000,23.1,45.0,279.0,2.0,> 10,11.0,95.1,Płock,blok,do zamieszkania,plastikowe,miejskie
800000,50.7,27.0,870.0,3.0,2,4.0,13.43,Warszawa,blok,do zamieszkania,plastikowe,gazowe
849000,54.5,61.0,1200.0,3.0,2,3.0,4.36,Warszawa,blok,do remontu,plastikowe,miejskie
899000,54.0,56.0,630.0,3.0,1,11.0,4.7,Warszawa,blok,do zamieszkania,plastikowe,
799000,72.12,,800.0,4.0,parter,3.0,86.05,Siedlce,blok,do zamieszkania,plastikowe,miejskie
682000,51.67,,800.0,2.0,3,12.0,10.64,Warszawa,blok,do remontu,,miejskie
1554450,72.3,13.0,1000.0,3.0,5,13.0,3.71,Warszawa,apartamentowiec,do zamieszkania,,miejskie
650000,62.5,56.0,,3.0,9,10.0,5.83,Warszawa,blok,do remontu,plastikowe,miejskie
898600,62.5,17.0,1300.0,3.0,2,3.0,13.34,Pruszków,blok,do zamieszkania,drewniane,gazowe
749000,41.5,,,2.0,6,,7.6,Warszawa,blok,do zamieszkania,,miejskie
439000,49.0,47.0,460.0,2.0,4,10.0,42.52,Żyrardów,blok,do zamieszkania,plastikowe,miejskie
819000,51.2,14.0,1100.0,2.0,2,2.0,11.52,Warszawa,apartamentowiec,do zamieszkania,plastikowe,kotłownia
570000,33.51,24.0,711.0,1.0,5,5.0,9.27,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1130000,51.5,17.0,610.0,2.0,parter,5.0,4.96,Warszawa,blok,,,
990000,58.3,52.0,1000.0,3.0,3,10.0,6.97,Warszawa,blok,do remontu,plastikowe,miejskie
1690000,163.0,25.0,2300.0,4.0,2,3.0,14.78,Józefosław,apartamentowiec,do zamieszkania,drewniane,gazowe
975000,58.0,52.0,850.0,3.0,5,10.0,1.47,Warszawa,blok,do remontu,plastikowe,miejskie
